reviewId,content;;
"a4e17d51-263a-4fe6-a400-1e4e97ab3e9f,""Tolong saldo driver saya selesaikan prosesnya, udah nunggu 24 jam ini, katanya abis 24 jam saldo bakal dibalikin, ini saya sudah lebih dari 24 jam saldo gak kunjung balik, sama hari ini juga saya transaksi saldo driver 50 ribu belum juga berhasil tolong ditindak lanjuti dan kembalikan saldo saya""";;
"572d520d-c61c-47cf-80b7-47293b9761dd,""sering pembaruan gak malah bagus malah sering error,""";;
"138520c3-6f8d-41c5-a11d-1a2f234a10f6,""parah ini ovo, Top up saldo grab dari tadi masih proses mulu.""";;
28d45f83-7667-436a-8947-4b19d275be35,sering gangguan yg menyebabkan kerugian bagi konsumen;;
590d340a-a226-4cc2-b98c-0d81e0d24322,Ini aplikasi gimana sih 2x top up Saldo Pengemudi Grab Driver ga ada yang masuk 1 pun.;;
"8f70687f-6e80-452e-a536-85cefd040d37,""Transaksi sering Error,nyangkut terus uang digital para pengguna nyan,tahu2 notifikasi update maintenance,sampai kapan,E walet jenis OVO ini,bisa jadi baik dimata penggunanya""";;
9fc814d2-844b-45fb-b41b-0592fa919dee,ga jelas tranfer sampe sekarang pending saldo udah terpotong parah ko ga bisa di hubungi cs ovo ya kacau;;
"f28f2282-e434-482d-8b3b-61fe99e3e8db,""Aplikasi ovo jelek sekali saya topup saldo pengemudi grab melalui ovo, kode voucher nya tidak bisa keluar, nyesal saya pakai ovo ini""";;
46106d39-9e22-4abc-a26e-563634886f40,sering bermasalah;;
9cc7da15-c00d-42c2-8b22-ccc5b640dc44,apk burik top up apk grab lama bnr;;
836f79e6-8588-492e-b27c-6a1740cf9434,aplikasi jelek bikin saldo pengguna hilang terus karena transaksi Gantung 👎👎👎;;
"c68ad5b1-f7ad-4e25-81f9-267580997368,""gimana ini ovo saya sudah tunggu lama sekali untuk top up saldo pengemudi, padahal saya butuh nya sekarang. cepat proses nya, saya sudah hubungin call center dan pusat bantuan tapi masih gak bisa juga""";;
